timestamp,license_plate,confidence,vehicle_type,track_id,violations,signal
1775466727.321331,MPO5UZOXE,0.06,vehicle,0,None,RED
1775466727.5140421,EAP05PEO,0.08,vehicle,0,None,RED
1775466727.5140421,KRISZZKS,0.39,vehicle,1,Wrong Lane,RED
1775466727.7279098,LAPO5JE,0.15,vehicle,0,None,RED
1775466727.88859,EAPU53,0.03,vehicle,0,None,RED
1775466727.88859,XKO5ZX,0.04,vehicle,1,Wrong Lane,RED
1775466728.28831,KPOSJE0U,0.03,vehicle,1,None,RED
1775466728.4713311,POSTEOW,0.20,vehicle,1,None,RED
1775466728.834642,APD52032,0.07,vehicle,1,None,RED
1775466729.378635,KK05ZZY,0.37,vehicle,0,Wrong Lane,RED
1775466729.378635,TARDSJZ0TA,0.06,vehicle,1,Red Light Jump,RED
1775466729.776494,MPO5E0WR,0.06,vehicle,0,Red Light Jump,RED
1775466729.776494,LOSZIK,0.02,vehicle,1,Wrong Lane,RED
1775466729.975511,KH05ZZR,0.59,vehicle,1,Wrong Lane,RED
1775466730.141264,UNLCCETL,0.00,vehicle,0,Red Light Jump,RED
1775466730.141264,LKO527,0.16,vehicle,1,Wrong Lane,RED
1775466730.3644469,KHOSZZ8,0.31,vehicle,1,Wrong Lane,RED
1775466730.544085,YH05ZZS,0.08,vehicle,2,Wrong Lane,RED
1775466730.7763588,GAPDSJEO,0.26,vehicle,0,Red Light Jump,RED
1775466730.7763588,EH05ZZL,0.22,vehicle,2,Wrong Lane,RED
1775466731.048618,NAPD5350,0.19,vehicle,2,Red Light Jump,RED
1775466731.2907572,VH05ZZK,0.25,vehicle,0,Wrong Lane,RED
1775466731.4677892,KI5ZZKI,0.19,vehicle,0,Wrong Lane,RED
1775466731.852863,KR5Z70,0.04,vehicle,0,Wrong Lane,RED
1775466731.852863,AP053R07,0.04,vehicle,1,Red Light Jump,RED
1775466732.07711,057E010,0.03,vehicle,1,Red Light Jump,RED
1775466732.323369,IWPO5JEO,0.12,vehicle,1,Red Light Jump,RED
1775466732.869816,ARDSJEOXD,0.08,vehicle,2,Red Light Jump,RED
1775466733.057767,KKHOSZZKE,0.26,vehicle,0,Wrong Lane,RED
1775466733.057767,POSAEO,0.08,vehicle,1,Red Light Jump,RED
1775466733.251123,YH05ZZK,0.12,vehicle,0,Wrong Lane,RED
1775466733.466176,XHOSZZKI,0.60,vehicle,0,Wrong Lane,RED
1775466733.466176,EQP05T,0.10,vehicle,1,Red Light Jump,RED
1775466733.971313,KRASZZKE,0.25,vehicle,0,Wrong Lane,RED
1775466733.971313,TR05JEO,0.12,vehicle,1,Red Light Jump,RED
1775466734.137391,RR05ZZK,0.75,vehicle,0,Wrong Lane,RED
1775466734.315974,FAPO5JE0XE,0.19,vehicle,1,Red Light Jump,RED
1775466734.475471,KKOSZIKL,0.14,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466734.475471,EPO53EOLE,0.15,vehicle,1,Red Light Jump,RED
1775466734.6302478,RR05ZZR,0.40,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466734.6302478,APO53017,0.05,vehicle,1,Red Light Jump,RED
1775466734.8273652,RAO5Z7K,0.08,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466734.8273652,QPO52E014,0.02,vehicle,1,Red Light Jump,RED
1775466735.143706,KR05ZZL,0.16,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466735.143706,TAPO5JBO16,0.06,vehicle,1,Red Light Jump,RED
1775466735.505573,APQ5E0L,0.30,vehicle,1,Red Light Jump,RED
1775466735.7134411,XHO5ZZIAT,0.11,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466735.7134411,APQ53EOZ,0.04,vehicle,1,Red Light Jump,RED
1775466735.970927,OPOS22013,0.01,vehicle,1,Red Light Jump,RED
1775466736.1771,EAP453EOK5,0.02,vehicle,0,Red Light Jump,RED
1775466736.3548958,KHOSZZKI,0.90,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466736.3548958,EPP5JEDK,0.09,vehicle,1,Red Light Jump,RED
1775466736.607924,XH05ZZK,0.39,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466736.7887669,FAPOSEC,0.12,vehicle,1,Red Light Jump,RED
1775466737.05206,KHOSZZR4,0.38,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466737.05206,MP05QED,0.11,vehicle,1,Red Light Jump,RED
1775466737.2732081,KHOSZZKL,0.81,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466737.660563,MPP5WR0RF,0.02,vehicle,1,Red Light Jump,RED
1775466738.618068,KKOSZZKA,0.38,vehicle,1,Red Light Jump;Wrong Lane,RED
1775466739.133121,KKOSZZKY,0.20,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466739.133121,AR052CUT,0.02,vehicle,1,Red Light Jump,RED
1775466739.39076,XH05ZZL,0.19,vehicle,0,Red Light Jump;Wrong Lane,RED
1775466739.5823228,IPOSJE0H7,0.05,vehicle,1,Red Light Jump,RED
1775466974.872664,HAI3NRU,0.50,vehicle,0,Red Light Jump;Wrong Lane,RED
1775467169.444787,HAI3NRU,0.39,vehicle,0,Wrong Lane;Red Light Jump,RED
1775467170.210339,NA1JNRU,0.24,vehicle,1,Wrong Lane;Red Light Jump,RED
1775467171.3526568,WAI3NRU,0.28,vehicle,0,Wrong Lane;Red Light Jump,RED
1775467171.7348852,MA3NRU,0.35,vehicle,0,Wrong Lane;Red Light Jump,RED
1775467177.863787,GXIS05J,0.37,vehicle,0,Wrong Lane,GREEN
1775467179.17522,GXIS0GJ,0.32,vehicle,1,Wrong Lane,GREEN
1775467181.203559,CXIS0GJ,0.30,vehicle,1,Wrong Lane,GREEN
1775467182.165003,GXIS0G,0.27,vehicle,0,Wrong Lane,GREEN
1775467183.273215,GXI5OGJ,0.38,vehicle,2,Wrong Lane,GREEN
1775467186.030623,GXIS0C,0.27,vehicle,1,Wrong Lane,GREEN
1775467187.391715,GXI5OCJ,0.29,vehicle,1,Wrong Lane,GREEN
1775467193.5158038,GXIS0CJ,0.27,vehicle,0,Wrong Lane,GREEN
1775467386.3003001,WAI3NRU,0.20,vehicle,0,Red Light Jump;Wrong Lane,RED
1775467389.774837,NAI3NRU,0.12,vehicle,0,Red Light Jump;Wrong Lane,RED
1775467421.63858,HAI3NRU,0.39,vehicle,0,Wrong Lane;Red Light Jump,RED
1775467422.269004,NA1JNRU,0.24,vehicle,1,Wrong Lane;Red Light Jump,RED
1775467423.4652789,WAI3NRU,0.28,vehicle,0,Wrong Lane;Red Light Jump,RED
1775467423.86176,MA3NRU,0.35,vehicle,0,Wrong Lane;Red Light Jump,RED
1775467662.985506,HAI3NRU,0.39,vehicle,0,Wrong Lane;Red Light Jump,RED
